config|get slow calls|at sites >100|put slow calls|baseline compiles|miss triggers|proto setups|unset setups|wp clears|ms
5000, all off|356055|271239|58445|2503|0|992|0|14|4370
5000, all off (again)|325968|241618|57253|2504|0|997|0|74|4183
500, all off|66929|15797|22933|3963|0|890|0|30|3531
5000, all on (N=12)|47586|970|20652|2771|1174|1028|1281|89|3945
5000, all on (again)|51417|4839|20783|2771|1172|1027|1376|85|4152
5000, tier-up only N=12|64435|10709|20342|2844|1325|941|0|1|3780
5000, unset only|310197|230644|57585|2500|0|996|345|92|3846
5000, string length only|289067|206200|57893|2504|0|993|0|74|4299
5000, rearm only|320657|236452|57535|2504|0|1118|0|121|4617
5000, 2+3+4 (no tier-up)|253277|172776|58559|2508|0|1117|4925|24|4104
5000, all on N=8|40151|645|19463|2816|1251|1011|1054|80|3362
5000, all on N=16|65537|11974|22687|2738|1106|1055|1812|126|3866
5000, all on N=32|81394|4705|25268|2679|951|1085|2115|79|3902
scale 10 (500x10), all off|320077|235795|57478|2537|0|997|0|28|4517
scale 10 (500x10), all on|94258|12052|29684|2703|1177|1096|2530|93|4244
500 (default), all on|41431|3897|20137|3986|715|933|1070|26|3857
